time_window,area,latitude,longitude,rainfall_mm,delay_minutes,congestion_percent,incident_count,weather_score,traffic_score,incident_score,civic_pulse_score,pulse_status,anomaly_count,event_status,evidence_level,summary,pulse_explanation
2026-09-24 08:00:00,C-Scheme,26.9118,75.795,2.36,8.835,26.605,1.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,C-Scheme is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:00:00,Civil Lines,26.9075,75.787,0.48,8.95,18.505000000000003,0.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Civil Lines is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:00:00,Durgapura,26.8547,75.805,1.1,8.21,40.545,1.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Durgapura is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:00:00,Jagatpura,26.839,75.826,4.2,11.475,40.76,3.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Jagatpura is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:00:00,Malviya Nagar,26.8508,75.806,2.75,10.565000000000001,29.47,1.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Malviya Nagar is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:00:00,Mansarovar,26.85,75.763,1.65,7.345000000000001,48.235,1.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Mansarovar is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:00:00,Pratap Nagar,26.815,75.829,2.31,9.565000000000001,32.945,2.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Pratap Nagar is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:00:00,Raja Park,26.9,75.822,1.18,6.545,32.17,0.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Raja Park is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:00:00,Sanganer,26.8197,75.769,1.98,6.985,28.025,1.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Sanganer is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:00:00,Vaishali Nagar,26.9124,75.7485,1.3,12.64,33.31,3.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Vaishali Nagar is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:10:00,C-Scheme,26.9118,75.795,0.41,3.83,30.32,1.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,C-Scheme is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:10:00,Civil Lines,26.9075,75.787,0.83,6.34,41.68,0.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Civil Lines is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:10:00,Durgapura,26.8547,75.805,2.78,6.205,35.825,1.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Durgapura is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:10:00,Jagatpura,26.839,75.826,2.34,7.58,36.56,2.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Jagatpura is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:10:00,Malviya Nagar,26.8508,75.806,3.19,9.55,15.57,1.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Malviya Nagar is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:10:00,Mansarovar,26.85,75.763,2.88,4.52,24.575000000000003,2.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Mansarovar is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:10:00,Pratap Nagar,26.815,75.829,4.8,10.59,32.985,1.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Pratap Nagar is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:10:00,Raja Park,26.9,75.822,2.39,7.735,29.825000000000003,2.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Raja Park is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:10:00,Sanganer,26.8197,75.769,0.98,8.73,28.885,0.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Sanganer is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:10:00,Vaishali Nagar,26.9124,75.7485,2.15,8.14,17.975,0.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Vaishali Nagar is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:20:00,C-Scheme,26.9118,75.795,0.41,5.5600000000000005,43.625,2.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,C-Scheme is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:20:00,Civil Lines,26.9075,75.787,0.83,6.5,24.24,3.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Civil Lines is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:20:00,Durgapura,26.8547,75.805,2.78,11.745000000000001,42.67,4.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Durgapura is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:20:00,Jagatpura,26.839,75.826,2.34,8.98,44.325,0.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Jagatpura is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:20:00,Malviya Nagar,26.8508,75.806,3.19,2.9749999999999996,39.21,3.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Malviya Nagar is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
2026-09-24 08:20:00,Mansarovar,26.85,75.763,2.88,10.685,41.99,3.0,0.0,100.0,0.0,40.0,Elevated Activity,0,Normal,High,Mansarovar is currently showing mostly normal civic conditions. The Civic Pulse Score is 40/100.,🚗 Traffic disruption is elevated (score 100/100).
